palabra,pista,
abacial,adjetivo_inicia_con_a,
abadenga,adjetivo_inicia_con_a,
abadengo,monastico/clerical/eclesiastico/monacal/abacial,
abajena,adjetivo_inicia_con_a,
abajeno,adjetivo_inicia_con_a,
abalconada,adjetivo_inicia_con_a,
abalconado,adjetivo_inicia_con_a,
abandonada,adjetivo_inicia_con_a,
abandonado,vulnerable/descuidado/indefenso/libre/holgazan/bohemio/indolente/vagabundo/pasivo/vago/pasota/debil/relajado/desordenado/inerme/sucio/desaseado/fragil/negligente/endeble/pusilanime/desidioso/desvalido/dejado/delicado/errante/desalinado/desastrado/adan/despreocupado,
abandonista,que_abandona,
abanquina,adjetivo_inicia_con_a,
abanquino,adjetivo_inicia_con_a,
abanto,adjetivo_inicia_con_a,
abarcable,adjetivo_inicia_con_a,
abarcada,adjetivo_inicia_con_a,
abarcado,adjetivo_inicia_con_a,
abarcador,adjetivo_inicia_con_a,
abarcadora,adjetivo_inicia_con_a,
abaritonada,adjetivo_inicia_con_a,
abaritonado,adjetivo_inicia_con_a,
abarquillada,adjetivo_inicia_con_a,
abarquillado,adjetivo_inicia_con_a,
abarrocada,adjetivo_inicia_con_a,
abarrocado,adjetivo_inicia_con_a,
abasi,adjetivo_inicia_con_a,
abastecedor,adjetivo_inicia_con_a,
abastecedora,adjetivo_inicia_con_a,
abatanada,adjetivo_inicia_con_a,
abatanado,adjetivo_inicia_con_a,
abayada,adjetivo_inicia_con_a,
abayado,adjetivo_inicia_con_a,
abderitana,adjetivo_inicia_con_a,
abderitano,adjetivo_inicia_con_a,
abdicativa,adjetivo_inicia_con_a,
abdicativo,adjetivo_inicia_con_a,
abdominal,del_abdomen,
abductor,adjetivo_inicia_con_a,
abductora,adjetivo_inicia_con_a,
abellotada,adjetivo_inicia_con_a,
abellotado,adjetivo_inicia_con_a,
aberenjenada,adjetivo_inicia_con_a,
aberenjenado,adjetivo_inicia_con_a,
aberrante,adjetivo_inicia_con_a,
abertal,adjetivo_inicia_con_a,
abertzale,adjetivo_inicia_con_a,
aberzale,adjetivo_inicia_con_a,
abestiada,adjetivo_inicia_con_a,
abestiado,agreste/feroz/arisco/silvestre/bravo/salvaje/montaraz/campestre/inflexible/aspero/bravio/indomito/indomable/cerril/cimarron/fiero,
abestializada,adjetivo_inicia_con_a,
abestializado,adjetivo_inicia_con_a,
abetunada,adjetivo_inicia_con_a,
abetunado,graso/bituminado/bituminoso/oleoso,
abierta,adjetivo_inicia_con_a,
abierto,sencillo/comprensible/rajado/libre/afable/franco/carinoso/extrovertido/amable/expansivo/familiar/calido/corriente/comunicativo/inteligible/tratable/llano/transitable/acogedor/entranable/atento/afectuoso/despejado/campechano/sociable/extravertido/vadeable/destapado/cordial/franqueable/hendido/natural/extenso/descubierto/amigable/accesible/amistoso/superable/vencible/amplio,
abietacea,adjetivo_inicia_con_a,
abietaceo,adjetivo_inicia_con_a,
abietinea,adjetivo_inicia_con_a,
abietineo,adjetivo_inicia_con_a,
abigarrada,adjetivo_inicia_con_a,
abigarrado,sobrecargado/barroco/pomposo/heterogeneo/estrambotico/confuso/excesivo/embarullado/profuso/recargado/charro/desbordante,
abigotada,adjetivo_inicia_con_a,
abigotado,mostachudo/bigotudo,
abiotica,adjetivo_inicia_con_a,
abiotico,adjetivo_inicia_con_a,
abipon,adjetivo_inicia_con_a,
abipona,adjetivo_inicia_con_a,
abisal,adjetivo_inicia_con_a,
abisinia,adjetivo_inicia_con_a,
abisinio,etiope,
abismal,muy_grande,
abismatica,adjetivo_inicia_con_a,
abismatico,adjetivo_inicia_con_a,
abizcochada,adjetivo_inicia_con_a,
abizcochado,adjetivo_inicia_con_a,
ablandador,adjetivo_inicia_con_a,
ablandadora,adjetivo_inicia_con_a,
ablandativa,adjetivo_inicia_con_a,
ablandativo,adjetivo_inicia_con_a,
ablativa,adjetivo_inicia_con_a,
ablativo,adjetivo_inicia_con_a,
abobada,adjetivo_inicia_con_a,
abobado,grogui/estupido/informal/badulaque/simple/lelo/bobo/adobo/afeite/aturdido/necio/pasmado/atontado/irreflexivo/papanatas/zombi/babieca/tonto/vacilante/embobado/atolondrado/tambaleante,
abocinada,adjetivo_inicia_con_a,
abocinado,acampanado/atrompetado/acampado,
abofeteador,adjetivo_inicia_con_a,
abofeteadora,adjetivo_inicia_con_a,
abolicionista,a_favor_abolicion,
abombada,adjetivo_inicia_con_a,
abombado,salido/chafado/protuberante/ahuevado/saliente/prominente/salton,
abonada,adjetivo_inicia_con_a,
abonado,apuntado/escrito/registrado/inscrito/anotado,
abonador,adjetivo_inicia_con_a,
abonadora,adjetivo_inicia_con_a,
abordable,que_se_puede abordar,
abordador,adjetivo_inicia_con_a,
abordadora,adjetivo_inicia_con_a,
aborigen,habitante_del_lugar,
aborrecedor,adjetivo_inicia_con_a,
aborrecedora,adjetivo_inicia_con_a,
abortista,a_favor_aborto,
abortiva,adjetivo_inicia_con_a,
abortivo,adjetivo_inicia_con_a,
abotinada,adjetivo_inicia_con_a,
abotinado,adjetivo_inicia_con_a,
abovedada,adjetivo_inicia_con_a,
abovedado,adintelado/combado/alabeado/curvado/corvo/arqueado,
abrasador,ardiente/irritante/urticante/vesicante/urente,
abrasadora,adjetivo_inicia_con_a,
abrasiva,adjetivo_inicia_con_a,
abrasivo,adjetivo_inicia_con_a,
abrazador,adjetivo_inicia_con_a,
abrazadora,adjetivo_inicia_con_a,
abrevador,adjetivo_inicia_con_a,
abrevadora,adjetivo_inicia_con_a,
abreviada,adjetivo_inicia_con_a,
abreviado,escueto/momentaneo/simplificado/efimero/seco/conciso/cortante/pasajero/reducido/limitado/sucinto/sintetico/exiguo/fugaz/esquematico/perecedero/resumido/laconico/transitorio/breve/temporal/sobrio/precario/sinoptico/corto/parco,
abreviador,adjetivo_inicia_con_a,
abreviadora,adjetivo_inicia_con_a,
abridera,adjetivo_inicia_con_a,
abridero,adjetivo_inicia_con_a,
abridor,abrelatas/abrebotellas,
abridora,adjetivo_inicia_con_a,
abrigada,prenda_de_vestir_calida,
abrigado,adjetivo_inicia_con_a,
abrigador,adjetivo_inicia_con_a,
abrigadora,adjetivo_inicia_con_a,
abrilena,adjetivo_inicia_con_a,
abrileno,adjetivo_inicia_con_a,
abrillantador,limpiador/limpiabotas/lustrador/brunidor,
abrillantadora,limpiadora/limpiabotas/lustradora/brunidora,
abrupta,femenino_dedesigual/quebrado/intrincado/rocoso/seco/sinuoso/escabroso/tosco/tortuoso/irregular/anfractuoso/arriscado/agreste/rudo/escarpado/aspero/accidentado/fragoso/montanoso,
abrupto,desigual/quebrado/intrincado/rocoso/seco/sinuoso/escabroso/tosco/tortuoso/irregular/anfractuoso/arriscado/agreste/rudo/escarpado/aspero/accidentado/fragoso/montanoso,
abrutada,adjetivo_inicia_con_a,
abrutado,adjetivo_inicia_con_a,
absoluta,adjetivo_inicia_con_a,
absolutista,a_favor_absoluto,
